iter	RMSE
0	224.6317896
1	222.8652692
2	221.073108
3	219.3875799
4	217.8052521
5	216.0193742
6	214.4105801
7	212.815676
8	211.386635
9	209.7797295
10	208.3278012
11	206.8803068
12	205.2569819
13	203.935684
14	202.5322692
15	201.2317193
16	199.7548359
17	198.5095924
18	197.308673
19	195.901514
20	194.5649291
21	193.4908343
22	192.3769204
23	191.1707663
24	189.9058676
25	188.7934057
26	187.5729862
27	186.4113774
28	185.1977167
29	184.0652446
30	183.0453957
31	181.9907419
32	180.9013532
33	179.8575344
34	178.9218808
35	177.9738981
36	176.9236462
37	175.9211512
38	174.9439682
39	173.9321445
40	172.9633236
41	172.1019961
42	171.1806792
43	170.2234782
44	169.3857239
45	168.4622938
46	167.5703215
47	166.7473777
48	165.917091
49	165.0897805
50	164.0960564
51	163.3085767
52	162.4651965
53	161.6611404
54	160.8486355
55	160.0433877
56	159.3645683
57	158.6449353
58	158.0015564
59	157.2554654
60	156.5930388
61	155.8112751
62	155.0718459
63	154.4256831
64	153.7467552
65	153.1069898
66	152.3877661
67	151.7652671
68	151.1312576
69	150.5012582
70	149.9000011
71	149.2755945
72	148.6218591
73	148.0720975
74	147.4586633
75	146.8929146
76	146.360184
77	145.8195815
78	145.3061102
79	144.7980095
80	144.2789166
81	143.7722306
82	143.2549974
83	142.7914802
84	142.2904568
85	141.8381687
86	141.3155856
87	140.845073
88	140.3906523
89	139.9203756
90	139.5319799
91	139.0480359
92	138.5458614
93	138.08072
94	137.6912136
95	137.3185828
96	136.9085868
97	136.5223609
98	136.1234197
99	135.7822007
100	135.2653491
101	134.8694525
102	134.4709016
103	133.9524617
104	133.6695936
105	133.2994293
106	132.9448239
107	132.5893087
108	132.1402541
109	131.7082933
110	131.3667998
111	131.0695976
112	130.6013173
113	130.2714949
114	130.0027336
115	129.7356636
116	129.3540643
117	128.9767415
118	128.6528417
119	128.246692
120	127.9053676
121	127.5216619
122	127.1954195
123	126.9658192
124	126.713181
125	126.2641442
126	125.9441821
127	125.7020338
128	125.4350772
129	125.0444462
130	124.7869802
131	124.5337997
132	124.2634223
133	123.9397866
134	123.6630264
135	123.3731207
136	123.0542957
137	122.8029909
138	122.5719621
139	122.2609776
140	121.9916186
141	121.7392813
142	121.572933
143	121.3539888
144	121.1177774
145	120.8526343
146	120.6208235
147	120.4075212
148	120.0519228
149	119.8149115
150	119.5868228
151	119.3977588
152	119.1978943
153	118.9642139
154	118.7207913
155	118.5447583
156	118.3245514
157	118.1181168
158	117.9099157
159	117.6962762
160	117.5044969
161	117.2651896
162	117.0479853
163	116.8646383
164	116.6734054
165	116.4193368
166	116.1567064
167	115.9411382
168	115.733409
169	115.5544358
170	115.2800927
171	115.1137784
172	114.959292
173	114.6751982
174	114.3918192
175	114.1432013
176	113.9650309
177	113.7882172
178	113.6513407
179	113.4931223
180	113.305948
181	113.1328759
182	112.9873372
183	112.7535263
184	112.5938134
185	112.4250954
186	112.2426137
