forecast_date,euros_per_mwh,origin_date,data_block_id
2021-09-01 00:00:00,92.51,2021-08-31 00:00:00,1
2021-09-01 01:00:00,88.9,2021-08-31 01:00:00,1
2021-09-01 02:00:00,87.35,2021-08-31 02:00:00,1
2021-09-01 03:00:00,86.88,2021-08-31 03:00:00,1
2021-09-01 04:00:00,88.43,2021-08-31 04:00:00,1
2021-09-01 05:00:00,93.58,2021-08-31 05:00:00,1
2021-09-01 06:00:00,118.7,2021-08-31 06:00:00,1
2021-09-01 07:00:00,135.44,2021-08-31 07:00:00,1
2021-09-01 08:00:00,140.72,2021-08-31 08:00:00,1
2021-09-01 09:00:00,130.0,2021-08-31 09:00:00,1
2021-09-01 10:00:00,116.99,2021-08-31 10:00:00,1
2021-09-01 11:00:00,109.75,2021-08-31 11:00:00,1
2021-09-01 12:00:00,103.88,2021-08-31 12:00:00,1
2021-09-01 13:00:00,98.0,2021-08-31 13:00:00,1
2021-09-01 14:00:00,94.98,2021-08-31 14:00:00,1
2021-09-01 15:00:00,95.06,2021-08-31 15:00:00,1
2021-09-01 16:00:00,97.61,2021-08-31 16:00:00,1
2021-09-01 17:00:00,116.12,2021-08-31 17:00:00,1
2021-09-01 18:00:00,131.0,2021-08-31 18:00:00,1
2021-09-01 19:00:00,145.91,2021-08-31 19:00:00,1
2021-09-01 20:00:00,144.93,2021-08-31 20:00:00,1
2021-09-01 21:00:00,125.76,2021-08-31 21:00:00,1
2021-09-01 22:00:00,114.39,2021-08-31 22:00:00,1
2021-09-01 23:00:00,94.32,2021-08-31 23:00:00,1
2021-09-02 00:00:00,96.99,2021-09-01 00:00:00,2
2021-09-02 01:00:00,94.77,2021-09-01 01:00:00,2
2021-09-02 02:00:00,93.88,2021-09-01 02:00:00,2
2021-09-02 03:00:00,92.25,2021-09-01 03:00:00,2
2021-09-02 04:00:00,91.83,2021-09-01 04:00:00,2
2021-09-02 05:00:00,98.62,2021-09-01 05:00:00,2
2021-09-02 06:00:00,128.94,2021-09-01 06:00:00,2
2021-09-02 07:00:00,150.0,2021-09-01 07:00:00,2
2021-09-02 08:00:00,146.38,2021-09-01 08:00:00,2
2021-09-02 09:00:00,130.8,2021-09-01 09:00:00,2
2021-09-02 10:00:00,118.92,2021-09-01 10:00:00,2
2021-09-02 11:00:00,113.0,2021-09-01 11:00:00,2
2021-09-02 12:00:00,107.84,2021-09-01 12:00:00,2
2021-09-02 13:00:00,100.99,2021-09-01 13:00:00,2
2021-09-02 14:00:00,97.97,2021-09-01 14:00:00,2
2021-09-02 15:00:00,105.05,2021-09-01 15:00:00,2
2021-09-02 16:00:00,112.44,2021-09-01 16:00:00,2
2021-09-02 17:00:00,122.66,2021-09-01 17:00:00,2
2021-09-02 18:00:00,138.0,2021-09-01 18:00:00,2
2021-09-02 19:00:00,158.51,2021-09-01 19:00:00,2
2021-09-02 20:00:00,133.88,2021-09-01 20:00:00,2
2021-09-02 21:00:00,87.47,2021-09-01 21:00:00,2
2021-09-02 22:00:00,87.45,2021-09-01 22:00:00,2
2021-09-02 23:00:00,94.51,2021-09-01 23:00:00,2
2021-09-03 00:00:00,86.2,2021-09-02 00:00:00,3
2021-09-03 01:00:00,86.15,2021-09-02 01:00:00,3
2021-09-03 02:00:00,86.11,2021-09-02 02:00:00,3
2021-09-03 03:00:00,81.98,2021-09-02 03:00:00,3
2021-09-03 04:00:00,86.18,2021-09-02 04:00:00,3
2021-09-03 05:00:00,91.39,2021-09-02 05:00:00,3
2021-09-03 06:00:00,122.46,2021-09-02 06:00:00,3
2021-09-03 07:00:00,136.0,2021-09-02 07:00:00,3
2021-09-03 08:00:00,134.7,2021-09-02 08:00:00,3
2021-09-03 09:00:00,123.13,2021-09-02 09:00:00,3
