forecast_date,lowest_price_per_mwh,highest_price_per_mwh,origin_date,data_block_id
2021-09-01,45.23,46.32,2021-08-31,1
2021-09-02,45.62,46.29,2021-09-01,2
2021-09-03,45.85,46.4,2021-09-02,3
2021-09-04,46.3,46.8,2021-09-03,4
2021-09-05,46.3,46.58,2021-09-04,5
2021-09-06,46.17,46.95,2021-09-05,6
2021-09-07,46.35,47.6,2021-09-06,7
2021-09-08,46.4,47.64,2021-09-07,8
2021-09-09,44.96,47.72,2021-09-08,9
2021-09-10,47.82,48.29,2021-09-09,10
2021-09-11,47.6,47.9,2021-09-10,11
2021-09-12,46.5,47.62,2021-09-11,12
2021-09-13,46.03,47.9,2021-09-12,13
2021-09-14,46.51,48.19,2021-09-13,14
2021-09-15,47.2,48.9,2021-09-14,15
2021-09-16,47.9,48.9,2021-09-15,16
2021-09-17,46.52,48.9,2021-09-16,17
2021-09-18,47.09,48.62,2021-09-17,18
2021-09-19,47.0,48.62,2021-09-18,19
2021-09-20,48.0,50.4,2021-09-19,20
2021-09-21,47.0,49.2,2021-09-20,21
2021-09-22,47.46,50.4,2021-09-21,22
2021-09-23,47.5,50.4,2021-09-22,23
2021-09-24,47.6,54.99,2021-09-23,24
2021-09-25,49.0,55.0,2021-09-24,25
2021-09-26,49.55,59.11,2021-09-25,26
2021-09-27,49.51,54.76,2021-09-26,27
2021-09-28,49.51,56.0,2021-09-27,28
2021-09-29,49.62,57.4,2021-09-28,29
2021-09-30,50.15,69.99,2021-09-29,30
2021-10-01,66.0,69.4,2021-09-30,31
2021-10-02,66.47,67.18,2021-10-01,32
2021-10-03,65.51,66.99,2021-10-02,33
2021-10-04,65.5,68.0,2021-10-03,34
2021-10-05,65.11,66.6,2021-10-04,35
2021-10-06,66.0,67.83,2021-10-05,36
2021-10-07,66.0,67.09,2021-10-06,37
2021-10-08,66.5,68.48,2021-10-07,38
2021-10-09,66.5,67.32,2021-10-08,39
2021-10-10,64.0,67.0,2021-10-09,40
2021-10-11,67.0,67.83,2021-10-10,41
2021-10-12,66.6,67.83,2021-10-11,42
2021-10-13,66.2,67.82,2021-10-12,43
2021-10-14,67.0,68.83,2021-10-13,44
2021-10-15,67.01,68.02,2021-10-14,45
2021-10-16,66.51,67.99,2021-10-15,46
2021-10-17,66.5,67.76,2021-10-16,47
2021-10-18,66.7,67.99,2021-10-17,48
2021-10-19,67.2,67.79,2021-10-18,49
2021-10-20,67.35,67.53,2021-10-19,50
2021-10-21,66.47,67.69,2021-10-20,51
2021-10-22,66.83,67.67,2021-10-21,52
2021-10-23,67.01,68.78,2021-10-22,53
2021-10-24,67.39,67.85,2021-10-23,54
2021-10-25,67.0,69.11,2021-10-24,55
2021-10-26,67.45,67.94,2021-10-25,56
2021-10-27,65.0,67.65,2021-10-26,57
2021-10-28,65.0,67.7,2021-10-27,58
2021-10-29,64.0,67.46,2021-10-28,59
2021-10-30,63.0,67.98,2021-10-29,60
2021-10-31,65.01,67.98,2021-10-30,61
